City,Population,"Murders per 10,000 people","Rapes per 10,000","Robberies per 10,000","Assaults per 10,000","Burglaries per 10,000","Larceny-thefts per 10,000","Motor vehicle thefts per 10,000","Arsons per 10,000"
Haverhill,"60,001",0.20,1.80,10.00,55.20,112.80,111.20,22.00,0.80
Greenfield,"17,651",0.00,10.20,3.40,55.00,146.20,157.50,15.30,1.70
Yarmouth,"23,903",0.00,2.90,7.10,59.40,100.40,282.40,14.20,2.90
Pittsfield,"42,597",0.00,12.40,3.80,53.80,87.80,157.80,13.90,1.40
Barnstable,"47,828",0.20,8.20,8.60,60.80,94.10,231.00,17.40,2.90
Lynn,"90,042",0.70,4.00,20.20,65.70,125.80,156.40,52.50,0.90
Worcester,"177,151",0.30,2.40,21.10,73.20,96.00,224.80,37.90,0.60
Lowell,"110,136",0.50,3.80,20.40,81.20,97.40,202.20,40.90,3.00
Boston,"604,465",1.00,3.90,39.70,65.80,57.80,273.50,39.80,
Holyoke,"39,722",0.50,11.10,16.40,85.60,116.10,415.40,59.40,5.00
Fall River,"90,760",0.30,7.20,26.40,85.90,92.80,257.50,38.50,4.10
Springfield,"151,249",0.90,7.70,37.50,79.30,132.40,293.00,59.60,4.00
New Bedford,"91,473",0.40,6.40,32.90,90.40,115.40,216.20,34.90,4.70
Chelsea,"38,621",0.50,6.50,54.90,111.30,105.40,253.50,64.50,0.30
Brookline,"54,527",0.00,0.60,5.50,,28.60,125.30,4.00,0.40
Fitchburg,"40,377",1.00,5.90,15.40,,78.30,188.50,26.00,3.00
Auburn,"16,298",0.00,2.50,8.00,,50.90,241.10,16.60,4.90
Hanson,"10,010",1.00,2.00,2.00,,45.00,108.90,12.00,4.00
Southampton,"6,036",0.00,1.70,0.00,,19.90,59.60,8.30,1.70
North Brookfield,"4,834",0.00,4.10,0.00,,18.60,47.60,12.40,0.00
